date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2017-03-10,2017-10,1116.72,563796000,-0.118694362,3.20344897
2017-03-11,2017-10,1175.83,283320000,-0.07204526801,1.112326377
2017-03-12,2017-11,1221.38,227176000,0,0
2017-03-13,2017-11,1231.92,380277000,0.008629582931,0.6739312251
2017-03-14,2017-11,1240,245306000,0.01524505068,0.07980596542
2017-03-15,2017-11,1249.61,297805000,0.02311319982,0.310899919
2017-03-16,2017-11,1187.81,638568000,-0.02748530351,1.810895517
2017-03-17,2017-11,1100.23,706599000,-0.09919107894,2.110359369
2017-03-18,2017-11,973.82,621302000,-0.2026887619,1.73489277
2017-03-19,2017-12,1036.74,406648000,0,0
2017-03-20,2017-12,1054.23,286530000,0.01687018925,-0.2953856898
2017-03-21,2017-12,1120.54,337391000,0.08083029496,-0.170311916
2017-03-22,2017-12,1049.14,380841000,0.01196056871,-0.06346274911
2017-03-23,2017-12,1038.59,248540000,0.001784439686,-0.3888080109
2017-03-24,2017-12,937.52,491038000,-0.09570384089,0.2075259192
2017-03-25,2017-12,972.78,435803000,-0.06169338503,0.07169591391
2017-03-26,2017-13,966.73,303668000,0,0
2017-03-27,2017-13,1045.77,372535000,0.08176016054,0.2267838561
2017-03-28,2017-13,1047.15,326332000,0.08318765322,0.07463413992
2017-03-29,2017-13,1039.97,298458000,0.07576055362,-0.01715689503
2017-03-30,2017-13,1026.43,352969000,0.0617545747,0.1623516472
2017-03-31,2017-13,1071.79,447287000,0.1086756385,0.4729474294
2017-04-01,2017-13,1080.5,289634000,0.117685393,-0.04621494527
2017-04-02,2017-14,1102.17,514187000,0,0
2017-04-03,2017-14,1143.81,580444000,0.03778001579,0.1288577891
2017-04-04,2017-14,1133.25,436310000,0.02819891668,-0.1514565712
2017-04-05,2017-14,1124.78,414784000,0.02051407678,-0.1933207179
2017-04-06,2017-14,1182.68,511222000,0.07304680766,-0.005766384603
2017-04-07,2017-14,1176.9,317022000,0.06780260758,-0.38344999
2017-04-08,2017-14,1175.95,209312000,0.06694067158,-0.5929263089
2017-04-09,2017-15,1187.87,242343000,0,0
2017-04-10,2017-15,1187.13,215883000,-0.0006229637923,-0.1091840903
2017-04-11,2017-15,1205.01,216182000,0.01442918838,-0.1079503018
2017-04-12,2017-15,1200.37,288702000,0.01052303703,0.1912949827
2017-04-13,2017-15,1169.28,351969000,-0.01564986067,0.4523588468
2017-04-14,2017-15,1167.54,254827000,-0.01711466743,0.05151376355
2017-04-15,2017-15,1172.52,203559000,-0.01292228948,-0.1600376326
2017-04-16,2017-16,1182.94,183231000,0,0
2017-04-17,2017-16,1193.91,253206000,0.009273504996,0.381894985
2017-04-18,2017-16,1211.67,270524000,0.02428694608,0.4764095595
2017-04-19,2017-16,1210.29,288061000,0.02312036113,0.5721193466
2017-04-20,2017-16,1229.08,315108000,0.03900451418,0.7197308316
2017-04-21,2017-16,1222.05,272167000,0.03306169375,0.4853763828
2017-04-22,2017-16,1231.71,249320000,0.04122778839,0.3606867833
2017-04-23,2017-17,1207.21,258951000,0,0
2017-04-24,2017-17,1250.15,235806000,0.0355696192,-0.08937984406
2017-04-25,2017-17,1265.49,242556000,0.04827660473,-0.06331313646
2017-04-26,2017-17,1281.08,329631000,0.06119067933,0.2729473916
2017-04-27,2017-17,1317.73,449197000,0.09154993746,0.734679534
2017-04-28,2017-17,1316.48,527489000,0.09051449209,1.037022448
2017-04-29,2017-17,1321.79,422706000,0.09491306401,0.6323783264
2017-04-30,2017-18,1347.89,413115000,0,0
2017-05-01,2017-18,1421.6,713624000,0.05468547137,0.7274221464
2017-05-02,2017-18,1452.82,477338000,0.07784759884,0.155460344
2017-05-03,2017-18,1490.09,583796000,0.1054982231,0.413156143
2017-05-04,2017-18,1537.67,933549000,0.1407978396,1.259779964
2017-05-05,2017-18,1555.45,946036000,0.153988827,1.290006415
2017-05-06,2017-18,1578.8,582530000,0.1713121991,0.410091621
2017-05-07,2017-19,1596.71,1080030000,0,0
2017-05-08,2017-19,1723.35,1340320000,0.07931308754,0.2410025647
2017-05-09,2017-19,1755.36,1167920000,0.09936056015,0.08137736915
2017-05-10,2017-19,1787.13,915723000,0.1192577237,-0.1521318852
2017-05-11,2017-19,1848.57,799490000,0.1577368464,-0.2597520439
2017-05-12,2017-19,1724.24,740984000,0.07987048368,-0.3139227614
2017-05-13,2017-19,1804.91,579635000,0.1303931209,-0.4633158338
2017-05-14,2017-20,1808.91,437196000,0,0
2017-05-15,2017-20,1738.43,731529000,-0.03896269024,0.6732289408
2017-05-16,2017-20,1734.45,959045000,-0.04116291026,1.193627115
2017-05-17,2017-20,1839.09,1064730000,0.01668408047,1.435360799
